A Matrix
NN->was nan
JJ->was nan
IN->was nan
VB->was nan
TO->was nan
DT->was nan
PRP->was nan
RB->was nan
CC->was nan
NP->asked 0.0204816748319
NN->asked 0.0241215991526
JJ->asked 0.00214268343345
IN->asked 0.0544426912582
VB->asked 0.0156094329464
TO->asked 0.000714796697025
DT->asked 0.00723705476039
PRP->asked 0.00826286270073
RB->asked 0.023460077649
CC->asked 0.039324952898
NP->whether 0.00104639496433
NN->whether 0.00119205716877
JJ->whether 0.00213489451299
IN->whether 0.00173529152964
VB->whether 0.00204893146845
TO->whether 0.000871982381124
DT->whether 0.000867600200578
PRP->whether 0.000310170633717
RB->whether 0.00150356734165
CC->whether 0.00049981450671
NP->it nan
NN->it nan
JJ->it nan
IN->it nan
VB->it nan
TO->it nan
DT->it nan
PRP->it nan
RB->it nan
CC->it nan
NP->wanted 0.0054065396047
NN->wanted 0.00109368681917
JJ->wanted 0.0490591101726
IN->wanted 0.059713961063
VB->wanted 0.0411434372698
TO->wanted 0.0436105597872
DT->wanted 0.0275054386698
PRP->wanted 0.0561190011751
RB->wanted 0.00449995289353
CC->wanted 0.0585910532282
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->wait 0.0524570247342
NN->wait 0.0610044025257
JJ->wait 0.0186027330084
IN->wait 0.0417186271684
VB->wait 0.0222388658598
TO->wait 0.0369036518777
DT->wait 0.03279904747
PRP->wait 0.0668696992438
RB->wait 0.0743018595494
CC->wait 0.0318611389529
NP->one nan
NN->one nan
JJ->one nan
IN->one nan
VB->one nan
TO->one nan
DT->one nan
PRP->one nan
RB->one nan
CC->one nan
NP->more 0.0461517946822
NN->more 0.043929733742
JJ->more 0.0236935461537
IN->more 0.0356514057135
VB->more 0.0175869298091
TO->more 0.0389327865283
DT->more 0.00321855529882
PRP->more 0.0401453438755
RB->more 0.00320227661299
CC->more 0.0191177081821
NP->term nan
NN->term nan
JJ->term nan
IN->term nan
VB->term nan
TO->term nan
DT->term nan
PRP->term nan
RB->term nan
CC->term nan
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->make 0.00334798321801
NN->make 0.0402665075603
JJ->make 0.00514278291168
IN->make 0.0136352341986
VB->make 0.056052154414
TO->make 0.00381919781527
DT->make 0.0178839353784
PRP->make 0.0253162954499
RB->make 0.0279012731032
CC->make 0.0403602367416
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->race 0.0364347710867
NN->race 0.0390109240355
JJ->race 0.00419342921183
IN->race 0.0267384044898
VB->race 0.00363635644672
TO->race 0.0432511928336
DT->race 0.0371595872657
PRP->race 0.060579467327
RB->race 0.0387949006389
CC->race 0.0368831472611
NP->it nan
NN->it nan
JJ->it nan
IN->it nan
VB->it nan
TO->it nan
DT->it nan
PRP->it nan
RB->it nan
CC->it nan
NP->voted 0.0451679366261
NN->voted 0.00594183798035
JJ->voted 0.00341544034959
IN->voted 0.0533363697357
VB->voted 0.0313151527452
TO->voted 0.00788512109139
DT->voted 0.00536900429149
PRP->voted 0.0021703640555
RB->voted 0.0234430060984
CC->voted 0.0187139212747
NP->no 1.35744295237e-26
NN->no 6.52798890529e-77
JJ->no 1.70080452018e-84
IN->no 0.488122020866
VB->no 7.57140637672e-101
TO->no 1.48647669227e-59
DT->no 2.00639136772e-73
PRP->no 3.15140315039e-10
RB->no 1.11181755385e-62
CC->no 4.28827258258e-73
NP->and nan
NN->and nan
JJ->and nan
IN->and nan
VB->and nan
TO->and nan
DT->and nan
PRP->and nan
RB->and nan
CC->and nan
NP->there nan
NN->there nan
JJ->there nan
IN->there nan
VB->there nan
TO->there nan
DT->there nan
PRP->there nan
RB->there nan
CC->there nan
NP->were 0.0453496093775
NN->were 0.0309105537547
JJ->were 0.0267598005197
IN->were 0.00979242203267
VB->were 0.0465758142341
TO->were 0.00177128002822
DT->were 0.0450035252346
PRP->were 0.0144347268477
RB->were 0.0235432914967
CC->were 0.0560494194503
NP->no 1.35744295237e-26
NN->no 6.52798890529e-77
JJ->no 1.70080452018e-84
IN->no 0.488122020866
VB->no 7.57140637672e-101
TO->no 1.48647669227e-59
DT->no 2.00639136772e-73
PRP->no 3.15140315039e-10
RB->no 1.11181755385e-62
CC->no 4.28827258258e-73
NP->dissents 0.0268009449666
NN->dissents 0.0577648863929
JJ->dissents 0.0204868682902
IN->dissents 0.0453468521336
VB->dissents 0.0691035650812
TO->dissents 0.0296910373735
DT->dissents 0.0326988655465
PRP->dissents 0.0052264170897
RB->dissents 0.0406544372853
CC->dissents 0.0718914489571
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->largest 0.0141126353587
NN->largest 0.0208013574232
JJ->largest 0.0133964203319
IN->largest 0.0118802654928
VB->largest 0.010219584766
TO->largest 0.0176025834512
DT->largest 0.00435942393847
PRP->largest 0.00913877540931
RB->largest 0.0144155243565
CC->largest 0.00244510662654
NP->hurdle 0.0192276462287
NN->hurdle 0.0245230055221
JJ->hurdle 0.0195629444697
IN->hurdle 0.00619336510462
VB->hurdle 0.00112751748014
TO->hurdle 0.0183739650691
DT->hurdle 0.0123709590118
PRP->hurdle 0.0101237188604
RB->hurdle 0.0189110848558
CC->hurdle 0.00133467134299
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->republicans 6.28536299367e-06
NN->republicans 9.74141402565e-06
JJ->republicans 1.06798211971e-05
IN->republicans 1.14100209892e-05
VB->republicans 3.02487510161e-06
TO->republicans 8.23666797307e-06
DT->republicans 3.64224449818e-06
PRP->republicans 1.26208337335e-05
RB->republicans 8.65572934484e-06
CC->republicans 1.52766770904e-05
NP->would 0.0287225514482
NN->would 0.017408618097
JJ->would 0.0193768996865
IN->would 0.048802139656
VB->would 0.00595543177932
TO->would 0.0269723131302
DT->would 0.0206417317309
PRP->would 0.000131899825487
RB->would 0.029874228669
CC->would 0.0387230571784
NP->have nan
NN->have nan
JJ->have nan
IN->have nan
VB->have nan
TO->have nan
DT->have nan
PRP->have nan
RB->have nan
CC->have nan
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->face 0.0143215167257
NN->face 0.0124732412795
JJ->face 0.009281204498
IN->face 0.02130089896
VB->face 0.00329634112102
TO->face 0.0188154793798
DT->face 0.00863176996846
PRP->face 0.0164763032304
RB->face 0.0173857458374
CC->face 0.0121655650713
NP->is nan
NN->is nan
JJ->is nan
IN->is nan
VB->is nan
TO->is nan
DT->is nan
PRP->is nan
RB->is nan
CC->is nan
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->state nan
NN->state nan
JJ->state nan
IN->state nan
VB->state nan
TO->state nan
DT->state nan
PRP->state nan
RB->state nan
CC->state nan
NP->law nan
NN->law nan
JJ->law nan
IN->law nan
VB->law nan
TO->law nan
DT->law nan
PRP->law nan
RB->law nan
CC->law nan
NP->which nan
NN->which nan
JJ->which nan
IN->which nan
VB->which nan
TO->which nan
DT->which nan
PRP->which nan
RB->which nan
CC->which nan
NP->says 0.0110991632117
NN->says 0.0186715848107
JJ->says 0.00880996416093
IN->says 0.0212816060362
VB->says 0.00228304874359
TO->says 0.0142995158163
DT->says 0.0123138355137
PRP->says 0.00395431980975
RB->says 0.0238998521563
CC->says 0.017130860819
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->before 0.0630399217782
NN->before 0.0129047692575
JJ->before 0.0205860746294
IN->before 0.0203319461158
VB->before 0.0275475189231
TO->before 0.00693278193269
DT->before 0.0112348724348
PRP->before 0.0470696928495
RB->before 0.038338830539
CC->before 0.0452938663253
NP->making 0.021411943096
NN->making 0.00161290617294
JJ->making 0.0144668654013
IN->making 0.0116577099905
VB->making 8.91823673196e-05
TO->making 0.0192837882874
DT->making 0.00203580089375
PRP->making 0.0136730862834
RB->making 0.00105898071606
CC->making 0.0040529912348
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->first 0.0094517128892
NN->first 0.0238547050573
JJ->first 0.000301810242522
IN->first 0.0109579498061
VB->first 0.0356416892376
TO->first 0.0274820861826
DT->first 0.033670196889
PRP->first 0.0130963894441
RB->first 0.0390067897996
CC->first 0.0465517304323
NP->race 0.0364347710867
NN->race 0.0390109240355
JJ->race 0.00419342921183
IN->race 0.0267384044898
VB->race 0.00363635644672
TO->race 0.0432511928336
DT->race 0.0371595872657
PRP->race 0.060579467327
RB->race 0.0387949006389
CC->race 0.0368831472611
NP->one nan
NN->one nan
JJ->one nan
IN->one nan
VB->one nan
TO->one nan
DT->one nan
PRP->one nan
RB->one nan
CC->one nan
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->two nan
NN->two nan
JJ->two nan
IN->two nan
VB->two nan
TO->two nan
DT->two nan
PRP->two nan
RB->two nan
CC->two nan
NP->alternative 0.00861415724566
NN->alternative 0.0135101052809
JJ->alternative 0.00580017438736
IN->alternative 0.0222551893236
VB->alternative 0.0281570472217
TO->alternative 0.0181813505411
DT->alternative 0.0183797922863
PRP->alternative 0.0161340334657
RB->alternative 0.00841783125852
CC->alternative 0.00517211311321
NP->courses 0.00925017016337
NN->courses 0.0133950367884
JJ->courses 0.00544486762626
IN->courses 0.0167676165283
VB->courses 0.0127802417902
TO->courses 0.016719062755
DT->courses 0.0169203731187
PRP->courses 0.00248492732821
RB->courses 0.0104485426746
CC->courses 0.00340295037624
NP->must 6.83580864546e-07
NN->must 1.00089232061e-05
JJ->must 3.47923553565e-06
IN->must 5.85012546391e-06
VB->must 4.66271772755e-06
TO->must 9.83740283137e-07
DT->must 9.85617360875e-06
PRP->must 2.29718569878e-06
RB->must 7.58475238245e-06
CC->must 4.06247715147e-06
NP->be nan
NN->be nan
JJ->be nan
IN->be nan
VB->be nan
TO->be nan
DT->be nan
PRP->be nan
RB->be nan
CC->be nan
NP->taken 0.0113582114092
NN->taken 0.0061894001911
JJ->taken 0.0214185494595
IN->taken 0.0201990746078
VB->taken 0.0186286527796
TO->taken 0.0222413698838
DT->taken 0.00234088157667
PRP->taken 0.0107021188594
RB->taken 0.0209730998427
CC->taken 0.00699623778197
NP->1 nan
NN->1 nan
JJ->1 nan
IN->1 nan
VB->1 nan
TO->1 nan
DT->1 nan
PRP->1 nan
RB->1 nan
CC->1 nan
NP->five 0.0232518032064
NN->five 0.0181204258175
JJ->five 0.00706274801293
IN->five 0.0242789783169
VB->five 0.0239780541129
TO->five 0.0230987935934
DT->five 0.0186772512881
PRP->five 0.00966133142259
RB->five 0.0120690985444
CC->five 0.0112565098835
NP->per 0.0316438125331
NN->per 0.0536142501523
JJ->per 0.033109598892
IN->per 0.0472853848411
VB->per 0.0458464475402
TO->per 0.01848843537
DT->per 0.00714637439786
PRP->per 0.0566322881918
RB->per 0.0558935804776
CC->per 0.0500167567265
NP->cent 0.0157795620819
NN->cent 0.00253049248776
JJ->cent 0.0054411665043
IN->cent 0.0143339136405
VB->cent 0.0175937401672
TO->cent 0.00999717813772
DT->cent 0.0121044415294
PRP->cent 0.0116717597028
RB->cent 0.0138590235255
CC->cent 0.0124974487634
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->voters nan
NN->voters nan
JJ->voters nan
IN->voters nan
VB->voters nan
TO->voters nan
DT->voters nan
PRP->voters nan
RB->voters nan
CC->voters nan
NP->in nan
NN->in nan
JJ->in nan
IN->in nan
VB->in nan
TO->in nan
DT->in nan
PRP->in nan
RB->in nan
CC->in nan
NP->each 0.00933573529944
NN->each 0.0075011806296
JJ->each 0.0136911002013
IN->each 0.0164411872098
VB->each 0.0147509192817
TO->each 0.0105199552393
DT->each 0.0217089296184
PRP->each 0.0131166591524
RB->each 0.0103871055646
CC->each 0.0201271334376
NP->county nan
NN->county nan
JJ->county nan
IN->county nan
VB->county nan
TO->county nan
DT->county nan
PRP->county nan
RB->county nan
CC->county nan
NP->must 6.83580864546e-07
NN->must 1.00089232061e-05
JJ->must 3.47923553565e-06
IN->must 5.85012546391e-06
VB->must 4.66271772755e-06
TO->must 9.83740283137e-07
DT->must 9.85617360875e-06
PRP->must 2.29718569878e-06
RB->must 7.58475238245e-06
CC->must 4.06247715147e-06
NP->sign 0.0193323173214
NN->sign 0.00760339374147
JJ->sign 0.00827610184501
IN->sign 0.00949458608503
VB->sign 0.00716867390919
TO->sign 0.0141497691082
DT->sign 0.00764459342929
PRP->sign 0.0139305552673
RB->sign 0.0103437556617
CC->sign 0.0189715773783
NP->petitions 0.00482500833488
NN->petitions 0.0235869151134
JJ->petitions 0.00133177488088
IN->petitions 0.00803610632287
VB->petitions 0.00528939581645
TO->petitions 0.00194869610714
DT->petitions 0.00238534942841
PRP->petitions 0.0226929637634
RB->petitions 0.0168284530158
CC->petitions 0.0136934707652
NP->requesting 0.000608386161549
NN->requesting 0.0131871354781
JJ->requesting 0.0159978431838
IN->requesting 0.00460918261462
VB->requesting 0.0127147652109
TO->requesting 0.0215100582686
DT->requesting 0.0247286884337
PRP->requesting 0.0133293148787
RB->requesting 0.0024798377938
CC->requesting 0.0228589518538
NP->that nan
NN->that nan
JJ->that nan
IN->that nan
VB->that nan
TO->that nan
DT->that nan
PRP->that nan
RB->that nan
CC->that nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->republicans 6.28536299367e-06
NN->republicans 9.74141402565e-06
JJ->republicans 1.06798211971e-05
IN->republicans 1.14100209892e-05
VB->republicans 3.02487510161e-06
TO->republicans 8.23666797307e-06
DT->republicans 3.64224449818e-06
PRP->republicans 1.26208337335e-05
RB->republicans 8.65572934484e-06
CC->republicans 1.52766770904e-05
NP->be nan
NN->be nan
JJ->be nan
IN->be nan
VB->be nan
TO->be nan
DT->be nan
PRP->be nan
RB->be nan
CC->be nan
NP->allowed 0.0111452015562
NN->allowed 0.00101578082183
JJ->allowed 0.025035842079
IN->allowed 0.0237284498088
VB->allowed 0.00894618410347
TO->allowed 0.0099784506725
DT->allowed 0.0119308389446
PRP->allowed 0.00682629605609
RB->allowed 0.00957441377746
CC->allowed 0.0157874525248
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->place nan
NN->place nan
JJ->place nan
IN->place nan
VB->place nan
TO->place nan
DT->place nan
PRP->place nan
RB->place nan
CC->place nan
NP->names 0.0185642680264
NN->names 0.00526883243477
JJ->names 0.0216976074545
IN->names 0.0140034083355
VB->names 0.00422168732193
TO->names 0.0109747719703
DT->names 0.0162457743003
PRP->names 0.00641079022758
RB->names 0.0192905143635
CC->names 0.0248471242812
NP->of nan
NN->of nan
JJ->of nan
IN->of nan
VB->of nan
TO->of nan
DT->of nan
PRP->of nan
RB->of nan
CC->of nan
NP->candidates 0.0213091283051
NN->candidates 0.0228425472734
JJ->candidates 0.0367760440493
IN->candidates 0.0431072754272
VB->candidates 0.0239141448476
TO->candidates 0.0756311646282
DT->candidates 0.0457840932398
PRP->candidates 0.0329679804129
RB->candidates 0.0529844375585
CC->candidates 0.0605441404842
NP->on nan
NN->on nan
JJ->on nan
IN->on nan
VB->on nan
TO->on nan
DT->on nan
PRP->on nan
RB->on nan
CC->on nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->general nan
NN->general nan
JJ->general nan
IN->general nan
VB->general nan
TO->general nan
DT->general nan
PRP->general nan
RB->general nan
CC->general nan
NP->election nan
NN->election nan
JJ->election nan
IN->election nan
VB->election nan
TO->election nan
DT->election nan
PRP->election nan
RB->election nan
CC->election nan
NP->ballot 0.0234257910341
NN->ballot 0.0222432627187
JJ->ballot 0.0122222527841
IN->ballot 0.000146781452551
VB->ballot 0.00672014771699
TO->ballot 0.0216917443869
DT->ballot 0.0129902013706
PRP->ballot 0.00626228047716
RB->ballot 0.000980056840036
CC->ballot 0.0220170980378
NP->or nan
NN->or nan
JJ->or nan
IN->or nan
VB->or nan
TO->or nan
DT->or nan
PRP->or nan
RB->or nan
CC->or nan
NP->2 0.00197461429752
NN->2 0.0157705128315
JJ->2 0.0132560653584
IN->2 0.00913559843053
VB->2 0.000479040501894
TO->2 0.014805145983
DT->2 0.0152795957836
PRP->2 0.0157623876706
RB->2 0.00833508422162
CC->2 0.00194661063047
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->republicans 6.28536299367e-06
NN->republicans 9.74141402565e-06
JJ->republicans 1.06798211971e-05
IN->republicans 1.14100209892e-05
VB->republicans 3.02487510161e-06
TO->republicans 8.23666797307e-06
DT->republicans 3.64224449818e-06
PRP->republicans 1.26208337335e-05
RB->republicans 8.65572934484e-06
CC->republicans 1.52766770904e-05
NP->must 6.83580864546e-07
NN->must 1.00089232061e-05
JJ->must 3.47923553565e-06
IN->must 5.85012546391e-06
VB->must 4.66271772755e-06
TO->must 9.83740283137e-07
DT->must 9.85617360875e-06
PRP->must 2.29718569878e-06
RB->must 7.58475238245e-06
CC->must 4.06247715147e-06
NP->hold 0.0214231312831
NN->hold 0.0124835703129
JJ->hold 0.002610021857
IN->hold 0.00776572023656
VB->hold 0.00124437341006
TO->hold 0.019213077335
DT->hold 0.00335468579119
PRP->hold 0.0209290905338
RB->hold 0.0193425020558
CC->hold 0.0119479195944
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->primary nan
NN->primary nan
JJ->primary nan
IN->primary nan
VB->primary nan
TO->primary nan
DT->primary nan
PRP->primary nan
RB->primary nan
CC->primary nan
NP->under nan
NN->under nan
JJ->under nan
IN->under nan
VB->under nan
TO->under nan
DT->under nan
PRP->under nan
RB->under nan
CC->under nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->county nan
NN->county nan
JJ->county nan
IN->county nan
VB->county nan
TO->county nan
DT->county nan
PRP->county nan
RB->county nan
CC->county nan
NP->unit 0.00793300245506
NN->unit 0.000942656929106
JJ->unit 0.0178336347012
IN->unit 0.00419875501417
VB->unit 0.0115475966697
TO->unit 0.00465169150782
DT->unit 0.000211914834279
PRP->unit 0.0138523613048
RB->unit 0.00543489120785
CC->unit 0.00571649083876
NP->system 2.39668721678e-05
NN->system 7.30985152857e-05
JJ->system 0.000108906685543
IN->system 0.000129669222644
VB->system 0.000358867727796
TO->system 4.82984915349e-05
DT->system 0.000578036551858
PRP->system 0.000384888237495
RB->system 0.000538741057149
CC->system 0.00022857166082
NP->a nan
NN->a nan
JJ->a nan
IN->a nan
VB->a nan
TO->a nan
DT->a nan
PRP->a nan
RB->a nan
CC->a nan
NP->system 2.39668721678e-05
NN->system 7.30985152857e-05
JJ->system 0.000108906685543
IN->system 0.000129669222644
VB->system 0.000358867727796
TO->system 4.82984915349e-05
DT->system 0.000578036551858
PRP->system 0.000384888237495
RB->system 0.000538741057149
CC->system 0.00022857166082
NP->which nan
NN->which nan
JJ->which nan
IN->which nan
VB->which nan
TO->which nan
DT->which nan
PRP->which nan
RB->which nan
CC->which nan
NP->the nan
NN->the nan
JJ->the nan
IN->the nan
VB->the nan
TO->the nan
DT->the nan
PRP->the nan
RB->the nan
CC->the nan
NP->party 0.0229296098959
NN->party 0.0140454449658
JJ->party 0.0102358576392
IN->party 0.000637755216538
VB->party 0.0252911396722
TO->party 0.00854694051179
DT->party 0.0237568279214
PRP->party 0.0229748903827
RB->party 0.0228124811134
CC->party 0.00602974829537
NP->opposes 0.00205183972674
NN->opposes 0.0211509979447
JJ->opposes 0.020889218204
IN->opposes 0.0193444359233
VB->opposes 0.0111538599101
TO->opposes 0.0211587341808
DT->opposes 0.00587287403208
PRP->opposes 0.00593408378231
RB->opposes 0.0113537140953
CC->opposes 0.001506870292
NP->in nan
NN->in nan
JJ->in nan
IN->in nan
VB->in nan
TO->in nan
DT->in nan
PRP->in nan
RB->in nan
CC->in nan
NP->its nan
NN->its nan
JJ->its nan
IN->its nan
VB->its nan
TO->its nan
DT->its nan
PRP->its nan
RB->its nan
CC->its nan
NP->platform 0.02116826513
NN->platform 0.00505385662606
JJ->platform 0.0215308389264
IN->platform 0.00147329836749
VB->platform 0.0255161327712
TO->platform 0.00826391970194
DT->platform 0.0237337489225
PRP->platform 0.000627792746348
RB->platform 0.00729831054027
CC->platform 0.0160867186267
NP->sam 0.067608137326
NN->sam 0.0187595344097
JJ->sam 0.019012471602
IN->sam 0.087109108029
VB->sam 0.025341959792
TO->sam 0.00284058903004
DT->sam 0.0871531056121
PRP->sam 0.0895827207534
RB->sam 0.0514350795669
CC->sam 0.0967830516305
NP->caldwell 0.00514726465791
NN->caldwell 0.0158544338939
JJ->caldwell 0.0415773338037
IN->caldwell 0.0350195000842
VB->caldwell 0.0107829312431
TO->caldwell 0.0286128125768
DT->caldwell 0.017405732079
PRP->caldwell 0.0198534343538
RB->caldwell 0.0341262825849
CC->caldwell 0.0469722848424
NP->state nan
NN->state nan
JJ->state nan
IN->state nan
VB->state nan
TO->state nan
DT->state nan
PRP->state nan
RB->state nan
CC->state nan
NP->highway 0.0605543828673
NN->highway 0.0847212675851
JJ->highway 0.0319004297068
IN->highway 0.000927718010344
VB->highway 0.0330578306811
TO->highway 0.0254349254506
DT->highway 0.0223268453261
PRP->highway 0.0525628529765
RB->highway 0.0370529809289
CC->highway 0.00601425267612
NP->department nan
NN->department nan
JJ->department nan
IN->department nan
VB->department nan
TO->department nan
DT->department nan
PRP->department nan
RB->department nan
CC->department nan
NP->public 0.0282246546279
NN->public 0.0217499054241
JJ->public 0.0101519545391
IN->public 0.0607505432642
VB->public 0.00253879317692
TO->public 0.0420975383575
DT->public 0.0667395718073
PRP->public 0.0384442172882
RB->public 0.0450816448484
CC->public 0.00839414850691
NP->relations 0.0192530653205
NN->relations 0.0286697649072
JJ->relations 0.0614193032157
IN->relations 0.0434274455127
VB->relations 0.0919964496367
TO->relations 0.0973537459074
DT->relations 0.0103769834258
PRP->relations 0.0326300306022
RB->relations 0.0994206881819
CC->relations 0.00944963360722
NP->director 0.0632184196123
NN->director 0.00462028263557
JJ->director 0.030734076977
IN->director 0.0554433173231
VB->director 0.0125041218587
TO->director 0.0226087241265
DT->director 0.0408872288284
PRP->director 0.0845411457622
RB->director 0.0417360386633
CC->director 0.0255612781947
NP->resigned 0.0140241580897
NN->resigned 0.0244278862112
JJ->resigned 0.0469734830457
IN->resigned 0.0774580983874
VB->resigned 0.0425004439824
TO->resigned 0.0358065271361
DT->resigned 0.0762042828694
PRP->resigned 0.044780369878
RB->resigned 0.0653461758516
CC->resigned 0.045938562895
NP->tuesday 0.0316687192489
NN->tuesday 0.0415854937988
JJ->tuesday 0.0469445757336
IN->tuesday 0.0101246268348
VB->tuesday 0.0939883821207
TO->tuesday 0.0701046652709
DT->tuesday 0.0277242107546
PRP->tuesday 0.0865738136633
RB->tuesday 0.00693187276207
CC->tuesday 0.0128540771837
NP->to nan
NN->to nan
JJ->to nan
IN->to nan
VB->to nan
TO->to nan
DT->to nan
PRP->to nan
RB->to nan
CC->to nan
NP->work 0.0215848176891
NN->work 0.0565843322739
JJ->work 0.0512608912901
IN->work 0.0595156944499
VB->work 0.0340526868143
TO->work 0.0338053784285
DT->work 0.0131407754173
PRP->work 0.0401125625338
RB->work 0.00428073189896
CC->work 0.0493748702343
NP->for nan
NN->for nan
JJ->for nan
IN->for nan
VB->for nan
TO->for nan
DT->for nan
PRP->for nan
RB->for nan
CC->for nan
NP->lt 0.0107827762787
NN->lt 0.0811072126037
JJ->lt 0.0205007300487
IN->lt 0.100168559128
VB->lt 0.0530830561241
TO->lt 0.00366203121694
DT->lt 0.0130502763307
PRP->lt 0.0436542531533
RB->lt 0.0310916960317
CC->lt 0.0949219016458
NP->gov 0.0401310705236
NN->gov 0.00709838686994
JJ->gov 0.040128592571
IN->gov 0.0227000214507
VB->gov 0.0292244346721
TO->gov 0.0426327146858
DT->gov 0.00454463698762
PRP->gov 0.0599475550314
RB->gov 0.0320460224865
CC->gov 0.0443299539496
NP->garland 0.0356997208707
NN->garland 0.0237745916559
JJ->garland 0.0067440353404
IN->garland 0.0537821037471
VB->garland 0.0148349903978
TO->garland 0.0627457349848
DT->garland 0.0643695142759
PRP->garland 0.111677005144
RB->garland 0.0762497371055
CC->garland 0.0689009366215
NP->byrds 0.106414344236
NN->byrds 0.0420377534556
JJ->byrds 0.0914402788076
IN->byrds 0.0748843638608
VB->byrds 0.0182121306052
TO->byrds 0.0221770281451
DT->byrds 0.0892141470941
PRP->byrds 0.0344136975057
RB->byrds 0.078439388128
CC->byrds 0.118350626388
NP->campaign 0.0495053404282
NN->campaign 0.0171261320867
JJ->campaign 0.0431709499177
IN->campaign 0.0372887679612
VB->campaign 0.0564280745884
TO->campaign 0.0403035959021
DT->campaign 0.0043259231828
PRP->campaign 0.0276319640976
RB->campaign 0.0102041577791
CC->campaign 0.015566646738
NP-> 0.0576155147741
NN-> 0.0455286921651
JJ-> 0.057286653258
IN-> 0.0177295352845
VB-> 0.0523560097744
TO-> 0.012885165813
DT-> 0.00354078219835
PRP-> 0.0538279702145
RB-> 0.0157681676407
CC-> 0.00696579805246
NP->caldwells 0.0157131706315
NN->caldwells 0.0270330808621
JJ->caldwells 0.0365224572011
IN->caldwells 0.0234313592467
VB->caldwells 0.00631980353981
TO->caldwells 0.0107899576557
DT->caldwells 0.00968881488698
PRP->caldwells 0.0432514379484
RB->caldwells 0.0353363483448
CC->caldwells 0.0482977264067
NP->resignation 0.00241410662952
NN->resignation 0.0039814139682
JJ->resignation 0.0185557435324
IN->resignation 0.0182350032026
VB->resignation 0.0444117282918
TO->resignation 0.0320927834809
DT->resignation 0.0400188484803
PRP->resignation 0.0214036399766
RB->resignation 0.0362872856259
CC->resignation 0.0203447286436
NP->had nan
NN->had nan
JJ->had nan
IN->had nan
VB->had nan
TO->had nan
DT->had nan
PRP->had nan
RB->had nan
CC->had nan
NP->been nan
NN->been nan
JJ->been nan
IN->been nan
VB->been nan
TO->been nan
DT->been nan
PRP->been nan
RB->been nan
CC->been nan
NP->expected 0.0274620489292
NN->expected 0.0534532898822
JJ->expected 0.0109106555843
IN->expected 0.0231097969668
VB->expected 0.0105498935117
TO->expected 0.0402353153535
DT->expected 0.0110146141031
PRP->expected 0.0456124160709
RB->expected 0.0421912424352
CC->expected 0.0185394901426
NP->for nan
NN->for nan
JJ->for nan
IN->for nan
VB->for nan
TO->for nan
DT->for nan
PRP->for nan
RB->for nan
CC->for nan
NP->some nan
NN->some nan
JJ->some nan
IN->some nan
VB->some nan
TO->some nan
DT->some nan
